i	deck	word	en	issue
2854	B1+|10	Haltestelle E	stop E (transit)	textbook section-break label transcribed as a vocab card, not a real word
4630	B2.1|6	Haltestelle B	stop B (transit)	same as above
5746	B2.2|10	Haltestelle C	stop C; (bus) stop	same as above
4776	B2.1|7	1d	exercise 1d	exercise/page reference number leaked into headword, not a vocab word
6439	B2.2|13	5d	exercise 5d	same as above
4136	B2.1|4	4a auf	auf (on; open)	exercise reference "4a" merged with the real headword "auf"
4590	B2.1|6	b sicherlich	certainly	stray exercise-reference letter merged with the real headword "sicherlich"
6191	B2.2|12	1b beleidigen nach dem Gesetz protestieren	insult; according to the law; protest	garbled merge of an exercise reference and multiple separate vocab items
5408	B2.2|9	in … H insicht	in ... respect	OCR/transcription error; should read "in ... Hinsicht"
6748	B2.2|14	Schnabel gewachsen ist	(idiom completion) as one's beak has grown; speak plainly	fragment of the idiom "wie einem der Schnabel gewachsen ist"; incomplete headword
6896	B2.2|15	Schuhe schieben	shift the blame (onto sb)	likely truncated from "jemandem etwas in die Schuhe schieben"; incomplete headword
3966	B2.1|3	ausgefallen.	broken down; out of order	stray trailing period in headword
